1475877600 349.511604 0.006453
1475878538 349.521398 0.003260
1475879477 349.529164 0.004613
1475880416 349.532433 0.004648
1475881354 349.538647 0.004076
1475882293 349.547011 0.004365
1475883232 349.552792 0.004508
1475884170 349.557299 0.004681
1475885109 349.560741 0.004572
1475886048 349.569669 0.002791
1475886986 349.578870 0.004478
1475887925 349.582166 0.004128
1475888864 349.592317 0.003104
1475889802 349.599905 0.004735
1475890741 349.603800 0.004671
1475891680 349.607620 0.004708
1475892619 349.611323 0.004516
1475893557 349.622237 0.003098
1475894496 349.629120 0.004710
1475895435 349.632265 0.004580
1475896373 349.644259 0.003816
1475897312 349.649963 0.004669
1475898251 349.655631 0.003835
1475899189 349.667953 0.004405
1475900128 349.671835 0.004486
1475901067 349.675242 0.004215
1475902005 349.678791 0.004474
1475902944 349.683922 0.004301
1475903883 349.696888 0.004379
1475904822 349.700336 0.004699
1475905760 349.704987 0.004141
1475906699 349.717902 0.004507
1475907638 349.722143 0.004705
1475908576 349.726543 0.004400
1475909515 349.731872 0.003911
1475910454 349.738739 0.003523
1475911392 349.746189 0.004580
1475912331 349.749681 0.004752
1475913270 349.754570 0.004264
1475914208 349.767282 0.004485
1475915147 349.770559 0.004726
1475916086 349.775729 0.003985
1475917025 349.790326 0.005104
