40.9615476411,14.2631077766,5.0,41.0024158423,14.1685077709,40.966849485,14.2582508129
40.9622413607,14.2500896752,4.0,40.9196566215,14.1628068554,40.9683881744,14.2309970695
40.9615292093,14.2631399632,2.0,40.9291182598,14.2154734285,40.9366919101,14.2557645192
40.9615332603,14.2631292343,4.0,40.9801261315,14.2112648752,40.9773782284,14.1899169981
40.9755204862,14.2614251889,2.0,40.9233048003,14.1466673807,40.9538656016,14.182587862
40.9662192209,14.2605355382,7.0,40.9219823017,14.2260674003,40.9511034324,14.2716862577
40.9685665319,14.2618618906,2.0,40.9455918365,14.2802328386,40.9537712037,14.2677734792
40.966849485,14.2582508129,4.0,40.9799838912,14.2014514977,40.9654222789,14.1697295043
40.9662212659,14.260538892,1.0,40.9922013867,14.2682821717,41.015332502,14.2236363888
40.9683881744,14.2309970695,6.0,40.992754084,14.2339860497,40.9538656016,14.182587862
40.9795952252,14.2263647661,2.0,40.9384978292,14.1798540987,40.9560027822,14.1678233359
40.9775714115,14.2328645289,6.0,40.9994419132,14.2215405284,41.0094611448,14.2196412385
40.9857505025,14.2327218484,3.0,40.9327337074,14.189215795,40.9742218111,14.1858273
40.9653181566,14.2154569276,3.0,41.0146866334,14.2353175611,40.9315810351,14.2620281362
40.9877056454,14.1891270876,8.0,40.9674508092,14.2357526128,40.9704763187,14.2235036194
40.9704763187,14.2235036194,7.0,40.9202005443,14.1613004593,40.968346994,14.1721057892
40.9814398151,14.2067304254,5.0,40.9840647002,14.1865252497,40.9814398151,14.2067304254
40.9624730716,14.2078649998,5.0,41.0064117754,14.2394512276,40.9797956093,14.224473238
40.9562670313,14.2111627758,5.0,40.9799021835,14.2754727394,41.0061346197,14.2136625946
40.9678293353,14.2080688477,1.0,40.956577866,14.283174371,40.9599132697,14.2096191645
40.9599132697,14.2096191645,2.0,41.0187944442,14.1521112239,40.9615476411,14.2631077766
40.9819546034,14.2100184151,1.0,40.9480702094,14.2671324865,40.9775714115,14.2328645289
40.9634455247,14.2079361614,5.0,40.9416130699,14.2591686502,40.9453243014,14.2758208972
40.9651240139,14.2155519491,7.0,40.9773977727,14.2737776789,40.9495172825,14.271504432
40.9865142083,14.1757206699,5.0,41.0058105615,14.253622557,40.9466516717,14.2717397958
40.9896877639,14.182728678,0.0,40.9189329538,14.153573535,40.9704763187,14.2235036194
40.985422592,14.1663739085,4.0,41.0181299214,14.1734403441,41.000512441,14.2093670368
41.0170337013,14.1779060662,6.0,40.9378639212,14.1827646205,41.015332502,14.2236363888
40.994344597,14.1898083687,3.0,40.969203367,14.2614585793,40.9624730716,14.2078649998
40.968346994,14.1721057892,4.0,40.951284771,14.2783731664,40.9678293353,14.2080688477
40.9742218111,14.1858273,3.0,40.9815789403,14.1459341106,40.9755113697,14.1520854458
40.9755113697,14.1520854458,4.0,41.0048176235,14.1720204307,41.0061346197,14.2136625946
40.9759948464,14.1675805673,4.0,40.9554566298,14.2059246735,41.015332502,14.2236363888
40.9773782284,14.1899169981,4.0,40.9195527097,14.2342079886,40.9624730716,14.2078649998
40.9791987521,14.1904775687,7.0,41.0168144169,14.1585948328,40.9624730716,14.2078649998
40.9747422667,14.1451551172,1.0,40.9352663343,14.1726182282,40.9538656016,14.182587862
40.9605334809,14.1899853945,7.0,40.9568235461,14.2608370619,40.9683881744,14.2309970695
40.9613837805,14.1876894236,4.0,40.998653613,14.2229606797,40.9989168896,14.2163488269
40.9538656016,14.182587862,4.0,40.9404281998,14.1530494856,40.9773782284,14.1899169981
